#;Method;URL;Response code;Response Message;Content Type;Duration
1;GET;http://localhost:50450/noxml;302;Found;;2
2;GET;http://localhost:50450/noxml/;302;Found;;2
3;GET;http://localhost:50450/noxml/home;302;Found;;3
4;GET;http://localhost:50450/noxml/login;200;OK;text/html;5
5;GET;http://localhost:50450/noxml/assets/v/13647/main.css;200;OK;text/css;4
6;GET;http://fonts.googleapis.com/css?family=Open+Sans:400italic,700italic,400,700;200;OK;text/css;221
7;POST;http://localhost:50450/noxml/j_security_check;302;Found;;88
8;GET;http://localhost:50450/noxml/app/home;302;Found;;3
9;GET;http://localhost:50450/noxml/home;200;OK;text/html;5
10;GET;http://localhost:50450/noxml/services/;200;OK;text/html;92
